dataset,sampler,n,used_n,shapiro_W,shapiro_p,decision,note
elevator,Fake Brisbane Backend,881,881,0.013232506788995013,6.29968983577807e-55,non normale,
elevator,Sampling Noise + 1% Depolarizing Error Probability,881,881,1.0,1.0,normale,
elevator,Sampling Noise + 2% Depolarizing Error Probability,881,881,0.013232506788995013,6.29968983577807e-55,non normale,
elevator,Sampling Noise + 5% Depolarizing Error Probability,881,881,0.013232506788995013,6.29968983577807e-55,non normale,
elevator,Sampling Noise Only,881,881,0.0222239444916823,8.959215027507067e-55,non normale,
elevator,Statevector Simulator,881,881,1.0,1.0,normale,
elevator2,Fake Brisbane Backend,872,872,1.0,1.0,normale,
elevator2,Sampling Noise + 1% Depolarizing Error Probability,872,872,1.0,1.0,normale,
elevator2,Sampling Noise + 2% Depolarizing Error Probability,872,872,1.0,1.0,normale,
elevator2,Sampling Noise + 5% Depolarizing Error Probability,872,872,0.013346114370793916,1.0053541347716762e-54,non normale,
elevator2,Sampling Noise Only,872,872,1.0,1.0,normale,
elevator2,Statevector Simulator,872,872,1.0,1.0,normale,
gsdtsr,Fake Brisbane Backend,79,79,0.2968652070860305,1.2746002760908855e-17,non normale,
gsdtsr,Sampling Noise + 1% Depolarizing Error Probability,79,79,0.3106051614604497,1.8449920320312063e-17,non normale,
gsdtsr,Sampling Noise + 2% Depolarizing Error Probability,79,79,0.2933488764312906,1.1605013553215296e-17,non normale,
gsdtsr,Sampling Noise + 5% Depolarizing Error Probability,79,79,0.3652302867250926,8.496054478088298e-17,non normale,
gsdtsr,Sampling Noise Only,79,79,0.2663254193768706,5.709585192422771e-18,non normale,
gsdtsr,Statevector Simulator,79,79,1.0,1.0,normale,
iofrol,Fake Brisbane Backend,443,443,0.0612376261394012,8.005702869466804e-42,non normale,
iofrol,Sampling Noise + 1% Depolarizing Error Probability,443,443,0.14091925610094003,1.391651525895502e-40,non normale,
iofrol,Sampling Noise + 2% Depolarizing Error Probability,443,443,0.0877470404716113,2.023099523126607e-41,non normale,
iofrol,Sampling Noise + 5% Depolarizing Error Probability,443,443,0.14643837840900187,1.709563836791402e-40,non normale,
iofrol,Sampling Noise Only,443,443,0.10842771759619352,4.235053893794682e-41,non normale,
iofrol,Statevector Simulator,443,443,1.0,1.0,normale,
paintcontrol,Fake Brisbane Backend,24,24,1.0,1.0,normale,
paintcontrol,Sampling Noise + 1% Depolarizing Error Probability,24,24,0.20897542838195537,2.1855562904030248e-10,non normale,
paintcontrol,Sampling Noise + 2% Depolarizing Error Probability,24,24,1.0,1.0,normale,
paintcontrol,Sampling Noise + 5% Depolarizing Error Probability,24,24,1.0,1.0,normale,
paintcontrol,Sampling Noise Only,24,24,1.0,1.0,normale,
paintcontrol,Statevector Simulator,24,24,1.0,1.0,normale,
