"Comparison","P_unadj","P_adj","A12"
"depolarizing_01 - depolarizing_02",0.6547,1,NA
"depolarizing_01 - depolarizing_05",0.9793,1,NA
"depolarizing_02 - depolarizing_05",0.6361,1,NA
"depolarizing_01 - fake_brisbane",0.7607,1,NA
"depolarizing_02 - fake_brisbane",0.4522,1,NA
"depolarizing_05 - fake_brisbane",0.7805,1,NA
"depolarizing_01 - ideal",0,5e-04,0
"depolarizing_02 - ideal",2e-04,0.0035,0
"depolarizing_05 - ideal",0,5e-04,0
"fake_brisbane - ideal",0,1e-04,0
"depolarizing_01 - sampling_noise",0.2791,1,NA
"depolarizing_02 - sampling_noise",0.5253,1,NA
"depolarizing_05 - sampling_noise",0.2678,1,NA
"fake_brisbane - sampling_noise",0.1655,1,NA
"ideal - sampling_noise",0.0023,0.0348,1
